cnt,casual,registered
-0.9563117241915204,-0.6627359960641206,-0.9301624851497268
-0.8239983790667246,-0.5613264652160687,-0.8046316929883668
-0.8681028274416566,-0.6221721837248998,-0.8376661119781984
-0.9728508923321199,-0.6627359960641206,-0.9499831365436257
-1.0390075648945178,-0.7235817145729518,-1.0094450907253225
-1.0390075648945178,-0.7235817145729518,-1.0094450907253225
-1.0334945088476513,-0.683017902233731,-1.0160519745232888
-1.027981452800785,-0.7032998084033414,-1.0028382069273563
-1.0004161725664524,-0.7032998084033414,-0.9698037879375246
-0.9673378362852534,-0.5613264652160687,-0.9764106717354909
-0.8460506032541906,-0.480198840537627,-0.8574867633720973
-0.7357894823168607,-0.19625215416308145,-0.8178454605842994
-0.581423913004599,-0.13540643565425026,-0.6526733656351417
-0.526293352535934,0.2296678753987369,-0.7055284360188722
-0.4601366799735361,-0.013714998636587874,-0.5469632248676808
-0.4380844557860701,0.08769453221146412,-0.553570108665647
-0.5318064085828005,0.10797643838107451,-0.6724940170290407
-0.6751458658013293,-0.4193531220287958,-0.6724940170290407
-0.851563659301057,-0.5410445590464582,-0.8442729957761647
-0.8405375472073241,-0.6018902775552895,-0.8112385767863332
-0.8460506032541906,-0.5004807467072374,-0.850879879574131
-0.8570767153479235,-0.6627359960641206,-0.8112385767863332
-0.8901550516291225,-0.5004807467072374,-0.9037349499578615
-0.829511435113591,-0.4193531220287958,-0.8574867633720973
-0.950798668144654,-0.6424540898945102,-0.9301624851497268
-0.950798668144654,-0.7032998084033414,-0.9103418337558278
-0.9949031165195859,-0.7032998084033414,-0.9631969041395583
-1.0114422846601854,-0.683017902233731,-0.9896244393314235
-1.027981452800785,-0.683017902233731,-1.0094450907253225
-1.0334945088476513,-0.7235817145729518,-1.0028382069273563
-1.0390075648945178,-0.7235817145729518,-1.0094450907253225
-1.0004161725664524,-0.7235817145729518,-0.9631969041395583
-0.9342595000040544,-0.7032998084033414,-0.8905211823619289
-0.7523286504574602,-0.581608371385679,-0.7121353198168385
-0.6586066976607298,-0.3990712158591854,-0.659280249433108
-0.5318064085828005,-0.31794359118074383,-0.5337494572717482
-0.6310414174263973,-0.5004807467072374,-0.5932114114534449
-0.7192503141762612,-0.6424540898945102,-0.6526733656351417
-0.6365544734732638,-0.33822549735035423,-0.6526733656351417
-0.6255283613795308,-0.5410445590464582,-0.573390760059546
-0.6861719778950622,-0.581608371385679,-0.6328527142412428
